CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000316,10/31/2022,4/30/2020,160758000
A00001557,5/31/2023,7/31/2022,13000
A00000039,4/30/2023,1/31/2018,1602000
A00000387,3/31/2022,2/28/2021,389000
A00000183,7/31/2021,12/31/2018,4907000
A00000333,11/30/2021,4/30/2020,29000
A00000374,10/31/2021,11/30/2020,135000
A00001420,8/31/2022,8/31/2021,361000
A00000251,12/31/2022,7/31/2019,1309000
A00000154,10/31/2022,8/31/2018,519000
A00000050,4/30/2023,1/31/2018,1000
A00000381,6/30/2022,1/31/2021,1586000
A00000382,8/31/2021,1/31/2021,258000
A00001564,7/31/2022,7/31/2022,8000
A00000305,9/30/2022,7/31/2020,205000
A00000172,6/30/2022,8/31/2018,689000
A00000172,4/30/2022,8/31/2018,457000
A00001421,4/30/2022,8/31/2021,292000
A00000140,11/30/2021,6/30/2018,1895000
A00000251,3/31/2021,7/31/2019,386000
A00000244,12/31/2022,4/30/2019,2280000
A00000355,10/31/2022,9/30/2020,6226000
A00000399,1/31/2023,12/31/2021,6000
A00001425,4/30/2023,8/31/2021,9000
A00000326,3/31/2022,4/30/2020,14000
A00000285,6/30/2022,11/30/2019,282000
A00000374,3/31/2023,11/30/2020,2000
A00000374,7/31/2022,11/30/2020,334000
A00001592,1/31/2023,7/31/2022,3000
A00000072,4/30/2023,1/31/2018,274000
A00001415,2/28/2023,8/31/2021,632000
A00000406,5/31/2021,3/31/2021,94000
A00000072,7/31/2022,1/31/2018,577000
A00001422,2/28/2022,8/31/2021,11000
A00000397,8/31/2021,2/28/2021,89000
A00001576,9/30/2022,6/30/2022,13000
A00001397,9/30/2021,5/31/2021,3000
A00001397,4/30/2023,5/31/2021,4000
A00001484,10/31/2022,1/31/2022,12000
A00001465,4/30/2022,1/31/2022,23000
A00001539,12/31/2022,4/30/2022,55000
A00000323,4/30/2021,12/31/2020,1000
A00001406,3/31/2023,8/31/2021,1561000
A00001412,12/31/2021,7/31/2021,10000
A00001444,8/31/2022,6/30/2022,38000
A00000302,2/28/2023,2/29/2020,1984000
A00001556,4/30/2023,4/30/2022,29000
A00000003,1/31/2022,1/31/2018,996000
A00001648,4/30/2023,10/31/2022,214000
A00000393,12/31/2022,3/31/2021,568000
A00001494,5/31/2023,4/30/2022,11000
A00001522,4/30/2023,3/31/2022,34000
A00001470,5/31/2023,1/31/2022,1580000
A00000381,9/30/2022,1/31/2021,1271000
A00000072,2/28/2022,1/31/2018,438000
A00000339,5/31/2023,6/30/2020,85000
A00000191,6/30/2022,12/31/2018,137000
A00001454,5/31/2022,11/30/2021,8000
A00001484,9/30/2022,1/31/2022,21000
A00001522,3/31/2023,3/31/2022,106000
A00001437,7/31/2022,10/31/2021,2000
