Customer Cohort Month,Month,Volume
10/31/2020,11/30/2021,5429000
12/31/2020,11/30/2022,26000
7/31/2021,11/30/2021,336000
7/31/2022,1/31/2023,46000
3/31/2018,8/31/2022,35000
4/30/2019,11/30/2019,685000
5/31/2019,4/30/2020,4915000
8/31/2019,9/30/2019,622000
7/31/2021,9/30/2021,426000
7/31/2020,12/31/2020,362000
9/30/2019,5/31/2023,3000
4/30/2018,11/30/2019,1000
9/30/2019,11/30/2020,49000
3/31/2018,11/30/2022,25000
7/31/2018,8/31/2021,5845000
2/28/2018,5/31/2023,191000
8/31/2022,2/28/2023,8000
11/30/2020,10/31/2022,437000
9/30/2018,11/30/2021,13000
1/31/2018,1/31/2021,72538000
1/31/2018,6/30/2018,14499000
2/28/2018,1/31/2022,220000
5/31/2019,6/30/2022,1772000
2/29/2020,12/31/2020,245000
8/31/2019,9/30/2021,7000
2/28/2023,2/28/2023,46000
3/31/2018,9/30/2019,44000
5/31/2019,5/31/2020,5966000
6/30/2021,9/30/2022,22000
5/31/2019,12/31/2020,7395000
3/31/2022,5/31/2023,4000
8/31/2019,8/31/2019,259000
3/31/2019,10/31/2019,860000
7/31/2020,1/31/2023,196000
6/30/2018,8/31/2018,1098000
4/30/2021,8/31/2021,3179000
2/29/2020,7/31/2022,24000
2/28/2019,9/30/2022,203000
1/31/2018,12/31/2020,18300000
12/31/2019,11/30/2020,603000
8/31/2019,11/30/2020,357000
10/31/2021,2/28/2022,29000
3/31/2022,3/31/2023,215000
10/31/2019,10/31/2021,6519000
10/31/2021,6/30/2022,21000
1/31/2021,8/31/2021,331000
2/28/2022,2/28/2023,1246000
11/30/2019,12/31/2022,60000
1/31/2018,11/30/2021,25216000
5/31/2020,10/31/2022,965000
5/31/2022,10/31/2022,75000
8/31/2021,5/31/2023,737000
6/30/2020,9/30/2021,93000
4/30/2021,4/30/2022,339000
3/31/2019,9/30/2020,262000
5/31/2020,4/30/2023,264000
2/28/2018,8/31/2020,411000
5/31/2022,7/31/2022,86000
5/31/2021,11/30/2022,39000
6/30/2019,6/30/2022,1226000
3/31/2019,6/30/2022,4000
