Customer Cohort Month,Month,Volume
12/31/2019,7/31/2021,47000
1/31/2018,10/31/2021,800000
9/30/2018,1/31/2023,145000
4/30/2019,3/31/2023,2931000
12/31/2019,3/31/2021,7000
5/31/2019,4/30/2023,2979000
1/31/2021,8/31/2022,5665000
12/31/2019,4/30/2021,4000
7/31/2022,10/31/2022,207000
1/31/2022,4/30/2022,1001000
1/31/2021,11/30/2022,1999000
2/29/2020,10/31/2022,1096000
9/30/2018,4/30/2021,159000
10/31/2019,11/30/2021,5914000
11/30/2022,11/30/2022,144000
4/30/2019,5/31/2023,2246000
3/31/2020,5/31/2022,593000
12/31/2022,2/28/2023,8000
10/31/2018,3/31/2021,227000
4/30/2021,2/28/2022,1000
3/31/2021,8/31/2022,5205000
2/28/2021,4/30/2022,458000
5/31/2019,5/31/2022,10646000
3/31/2023,4/30/2023,54000
1/31/2021,9/30/2021,1261000
5/31/2021,6/30/2022,2796000
3/31/2022,5/31/2022,783000
10/31/2018,5/31/2022,2049000
9/30/2020,5/31/2021,184000
2/28/2021,9/30/2021,109000
7/31/2021,9/30/2022,112000
1/31/2022,2/28/2022,1412000
3/31/2018,1/31/2023,7000
12/31/2022,12/31/2022,23000
1/31/2018,11/30/2022,34725000
8/31/2019,7/31/2021,311000
5/31/2021,11/30/2021,932000
2/28/2021,12/31/2021,201000
2/29/2020,9/30/2021,274000
5/31/2021,5/31/2022,2959000
1/31/2022,9/30/2022,3328000
2/28/2022,6/30/2022,1310000
4/30/2022,7/31/2022,72459000
6/30/2018,10/31/2022,5093000
8/31/2018,11/30/2022,764000
8/31/2021,3/31/2022,9998000
10/31/2018,3/31/2022,1761000
2/29/2020,4/30/2022,423000
1/31/2018,7/31/2021,1162000
6/30/2022,11/30/2022,276000
8/31/2022,12/31/2022,209000
10/31/2018,11/30/2021,1461000
12/31/2018,11/30/2021,4663000
9/30/2018,1/31/2022,116000
11/30/2020,4/30/2021,172000
12/31/2021,12/31/2022,9000
4/30/2020,2/28/2023,107797000
7/31/2021,2/28/2022,136000
8/31/2019,2/28/2022,427000
3/31/2020,5/31/2023,325000
7/31/2022,8/31/2022,184000
7/31/2018,2/28/2023,12076000
7/31/2020,3/31/2021,526000
11/30/2019,2/28/2023,305000
3/31/2020,3/31/2021,1103000
12/31/2021,2/28/2022,30000
10/31/2020,10/31/2022,22510000
5/31/2022,2/28/2023,157000
10/31/2021,1/31/2023,5953000
12/31/2018,7/31/2021,4907000
8/31/2019,5/31/2021,335000
6/30/2020,8/31/2022,1828000
7/31/2021,3/31/2022,140000
8/31/2022,8/31/2022,428000
7/31/2020,9/30/2022,333000
1/31/2018,4/30/2021,154000
11/30/2019,1/31/2023,323000
3/31/2020,2/28/2022,734000
1/31/2021,2/28/2023,2751000
7/31/2021,4/30/2022,81000
8/31/2019,7/31/2022,358000
8/31/2018,12/31/2021,209000
12/31/2020,4/30/2023,1253000
6/30/2018,4/30/2023,1346000
9/30/2020,11/30/2021,1477000
2/28/2021,10/31/2022,30000
7/31/2020,12/31/2022,304000
10/31/2018,2/28/2022,1359000
2/28/2022,5/31/2022,1059000
5/31/2021,4/30/2023,958000
11/30/2020,2/28/2022,372000
10/31/2018,1/31/2023,2887000
12/31/2018,6/30/2022,5390000
4/30/2022,5/31/2023,11324000
1/31/2018,12/31/2021,5429000
8/31/2019,12/31/2021,471000
3/31/2019,4/30/2022,1375000
2/28/2022,11/30/2022,487000
11/30/2019,7/31/2022,297000
2/28/2019,1/31/2023,6423000
12/31/2019,4/30/2023,167000
3/31/2021,12/31/2022,3687000
6/30/2022,7/31/2022,213000
12/31/2018,10/31/2021,4759000
3/31/2019,2/28/2022,461000
11/30/2021,9/30/2022,4832000
8/31/2018,9/30/2022,756000
1/31/2018,9/30/2022,35347000
7/31/2020,10/31/2021,667000
